Key,English,Chinese,Korean,Tagalog,Spanish
stay_calm_and_do_not_open_car,Stay calm and do not open your car door.,保持镇定，不要开车门。,당황하지 말고 절때 차 문을 열지 마세요.,Huwag matakot at huwag buksan ang pinto ng kotse.,Mantiene su calma y no abra la puerta. 
street,Street,在街上,길거리,Sa Kalye,En la calle
talk_through_door,You can talk to the agent through the door if necessary.,如有必要，您可以通过门与移民执法员交谈。,이민국 요원과 대화를 하셔야 한다면 문이 닫힌 상태로 하세요.,"Kung kinakailangan, pwede kang makipag-usap sa ahente sa pamamagitan ng pinto.","Si es necesario, puede hablar con los agentes a través de la puerta cerrada."
tell_agent_that_you_want_to_remain_silent,"Tell the ICE agent that you want to remain silent. If you speak, do not lie.",告诉移民局执法员，您想要保持沉默。如您要说话，不要说谎。,이민국 요원에게 묵비권을 행사할 권리가 있슴을 이야기 하세요! 대화가 필요할 경우 절때 거짓말 하지 마세요.,"Sabihin sa ahente ng ICE na gusto mong manatiling manahimik. Kung ikaw ay magsasalita, huwag kang magsinungaling.","Diga al agente que quiera permanecer en silencio. Si hable, no mienta. "
tell_agents_if,Tell the agents if...,告诉移民局执法员，如果。。。,아래 사항중 해당대는 경우가 있다면 이민국 요원에게 이야기 하세요:,Sabihin sa mga ahente kung…,Avise a los agentes si...
terms_of_service,Terms of Service,服务条款,서비스 약관,Mga Tuntunin ng Serbisyo,Términos de servicio
tips,Tips,建言,경고,Mga Tips,Consejos
verify_over_13,"By clicking ""continue"" below, you are verifying that you are over the age of 13.",点击下面的”继续“， 即表示您已超过13岁。,"아래의 ""다음"" 버튼을 클릭하면 귀하는 13세 이상임을 인정하는 것 입니다.","Pinapatunayan mo na ikaw ay higit sa edad na 13 sa pagpindot ng ""tumuloy"".","Si haga click en ""continuar"" debajo, usted verifique que tenga más de 13 años. "
video__arrested_street,Arrested in the street,在街上被逮捕。,길거리에서 체포를 당했을 경우,Pag-aresto sa kalye,Detenido en la calle
video__consult_attorney,Consulting an attorney in detention,在拘留所，与律师咨询。,구금시 변호사와의 상담,Pagkonsulta sa isang abogado sa detensyon,Consultando un abogado en la detención
video__interrogation,Interrogated by an ICE agent in detention,在拘留所，被移民局执法员审问,이민국 요원의 심문,Ininterogado ng ahente ng ICE sa detensyon,Interrogado por un agente de ICE en la detención
video__know_your_rights_general_tips,Know Your Rights (general tips),知道自己的权力 (一般的建议),귀하의 기본 권리,Alamin ang Iyong Mga Karapatan (pangkalahatang na tips),Conozca sus derechos (consejos generales)
video__seeking_relief_in_detention,Seeking legal relief with ISAP in detention,在拘留所，用ISAP寻求法律援助。,구금중 ISAP를 요청 해야할 경우,Paghanap ng ligal na tulog sa ISAP sa detensyon,Buscando apoyo legal con ISAP en la detención
videos,Videos,影片,비디오,Mga Bidyo,Videos
videos_description,Watch potential situations and see how the actors respond,观看可能会发生的情况，并观察演员如何应对。,잠재적 상황에서 대역 배우의 대처를 시청하세요,Panoorin and potensyal na sitwasyon at tingnan kung paano tumugon ang mga artista,Vea situaciones potenciales y cómo responden los actores.
view_list,View List,列表,시청 목록,empty_value,Ver lista
website,Website,网址,웹 사이트,Websayt,Sitio web
welcome_message,A defense tool for the Los Angeles immigrant community.,洛杉矶移民社区的防御工具。,로스 앤젤레스 이민자 커뮤니티를 보호 해주는 앱.,Isang tool para sa depensa ng komunidad ng mga migrante sa Los Angeles.,Un instrumento de defensa para la comunidad de inmigrantes en Los Angeles. 
welcome_title,Welcome to Fire!,欢迎来到 Fire！,Fire에 오신 것을 환영합니다!,Maligayang Pagdating sa Fire!,Bienvenidos a Fire!
what_is_hotline,What's an emergency hotline?,什么是紧急热线?,긴급 핫라인이란?,Ano ang emerhensyang hotline?,Que es una línea de emergencia?
what_is_hotline_content,"Emergency hotlines serve different parts of Southern California in case you or your loved one are detained by immigration authorities. You can also call to alert potential ICE sightings. These are 100% volunteer-operated, free, and confidential.",紧急热线为南加州不同的区域服务，以防您或您的亲人被移民局逮捕。您也可以打电话，提醒美国移民及海关执法局可能出现的地方。这些是完全由志愿者运行，免费且保密。,비상 핫라인은 귀하 또는 귀하의 사랑하는 사람이 이민 당국에 구금될 경우에 대비하여 남부 캘리포니아와 다른 지역에 서비스를 제공합니다. 또는 귀하가 ICE 점검 가능성을 알리기 위해 전화할 수도 있습니다. 이들은 100% 자원 봉사자 운영제이며 무료이고 신뢰할 수 있다.,Ang mga emerhensyang hotline ay nagsisilbi ng iba't ibang lugar ng Southern California kung sakali ay ikaw o ang mga mahal mo sa buhay ay na detenhin ng mga awtoridad ng imigrasyon.,Líneas de emergencia sirven inmigrantes en California del Sur en caso de que usted o un ser querido esteja detenido por ICE. Usted también puede llamar a la línea para reportar la ubicación de agentes de ICE. Las líneas son 100% operados por voluntarios. Son gratis y confidenciales.
work,Work,在工作,직장,Sa Trabaho,En el trabajo
you_are_being_patrolled,You see suspicious unmarked SUVs or trucks patrolling your house or neighborhood,您看到可疑且无标记的SUV或卡车在您的家或在附近巡逻。,당신이 수상한 번호판 없는 SUV 나 트럭을 당신 집주위나 이웃에서 목격하면,Nakakita ka ng mga kahina-hinalang hindi marka na SUV o trak na nagpapatrolya sa iyong bahay o kapitbahayan,Ve camionetas o camiones sin marcas sospechosas que patrullan su casa o vecindario
you_are_detained,You or your loved one are detained by immigration authorities,您或您的亲人被移民局执法员逮捕。,당신과 당신이 사랑하는 사람들이 이민국 직원에게 구금되면,Ikaw o ang mahal mo sa buhay ang nakakulong ng mga opisyal ng imigrasyon,Usted o su ser querido son detenidos por las autoridades de inmigración.
you_are_ill,"you are ill, on medication, nursing, or pregnant",您生了病，在吃药，哺乳，或有孕。,귀하가 지병으로 약을 복용중이거나 간병 또는 임신중 이거나,"may sakit ka, gumagamit ka ng gamot, nangangalaga ka ng sanggol, o kung ikaw ay buntis.","tiene enfermedades o medicamentos, está embarazada o lactando"
you_have_right_to_remain_silent,You have the right to remain silent!,您有权力保持沉默 !,귀하는 묵비권을 행사할 권리가 있습니다!,Ikaw ay may karapatang manahimik!,Tiene el derecho de permanecer en silencio.
you_need_to_arrange_care,you need to arrange care for someone,您需要安排照顾某人,가족 중에 귀하가 돌봐야 될 사람이 있을 경우,kailangan mong planuhin ang pangangalaga para sa isang tao.,necesita cuidar a alguien
you_saw_raid,You witnessed a raid or saw immigration offers in public,您目睹移民局执法员突袭或在公共场所看到他们。,당신이 불시 단속을 목격하거나 이민국 직원을 공공장소에서 보면,Nasaksihan mo ang isang pagsalakay o nakakita ng mga opisyal ng imigrasyon sa publiko,Presenció una redada o vio a oficiales de inmigración en público
